book_id,mean_sent_len,std_sent_len,punc_density,n_chunks,label_suffering_type
brothers_karamazov,18.01310929338001,13.047946949783007,0.03919503961290781,5,moral
myth_of_sisyphus,33.18369232490551,27.5984356125265,0.041422468968942194,106,existential
meditations,27.299739172630435,21.957720674128296,0.03900847792308224,90,stoic
east_of_eden,32.80855342459321,23.436343093978994,0.030087068931509493,61,intergenerational
enchiridion,20.7425963742639,16.338187688808688,0.03709080168456708,30,stoic
crime_and_punishment,19.728898969417457,14.405672347830574,0.043289557534748245,41,moral
the_stranger,39.54695862287982,26.230270937857544,0.03427421785714468,202,existential
notes_from_underground,40.90876178992013,38.69929161724456,0.037364540679098175,13,existential
seneca_letters,23.384304952397205,20.479719434011024,0.24012628971921318,15,stoic
zarathustra,20.085520758661563,14.038968553648967,0.04293297560076444,139,existential
sickness_unto_death,22.223369906800713,16.155891805525137,0.045896704380809436,116,existential
republic,25.039881179966557,19.489451446517783,0.04378768266290282,198,philosophy
mans_search_for_meaning,24.26732825962104,16.64401444289638,0.05592658133682897,119,existential
dickinson_poems,16.475306752352886,13.822263427818813,0.05461591716261914,39,poetry_sentimental
whitman_poems,31.599813171784273,38.29594199091093,0.05273067823550965,83,poetry_sentimental
poe_poems,29.171454707744896,19.863071877491098,0.03536450225263268,119,poetry_existential
byron_childe_harold,38.81612325383182,26.466639772780713,0.03253735800511803,3,poetry_sentimental
browning_sonnets,30.162809676635508,22.764133573573844,0.041870070511455595,38,poetry_sentimental
keats_poems,18.635515483556226,11.986991637236148,0.0525338606897427,14,poetry_sentimental
leaves_of_grass,37.415427251303804,47.097219839499445,0.04501969339336046,8,poetry_sentimental
