topic,rank,term,weight
0,1,mr,0.2976223826408386
0,2,said,0.29046469926834106
0,3,oliver,0.24363824725151062
0,4,don,0.21319209039211273
0,5,old,0.21285036206245422
0,6,replied,0.21239912509918213
0,7,little,0.21221958100795746
0,8,door,0.2049395591020584
0,9,know,0.19937093555927277
0,10,room,0.1970917284488678
0,11,ll,0.19665859639644623
0,12,face,0.18706956505775452
0,13,eyes,0.18196234107017517
0,14,come,0.18126259744167328
0,15,looked,0.1799592524766922
1,1,thou,0.4809856712818146
1,2,thy,0.35585102438926697
1,3,unto,0.3551727831363678
1,4,thee,0.34936684370040894
1,5,hath,0.28616222739219666
1,6,doth,0.2818031311035156
1,7,things,0.2689279615879059
1,8,thyself,0.24326524138450623
1,9,man,0.23688560724258423
1,10,zarathustra,0.2362559735774994
1,11,art,0.2071824073791504
1,12,nature,0.20506912469863892
1,13,ye,0.18958011269569397
1,14,men,0.18671704828739166
1,15,world,0.17620328068733215
2,1,king,0.46842285990715027
2,2,france,0.30952930450439453
2,3,francis,0.2974607050418854
2,4,duke,0.2701328694820404
2,5,henry,0.2579137980937958
2,6,charles,0.2575177252292633
2,7,guise,0.21085450053215027
2,8,queen,0.19076628983020782
2,9,paris,0.18706893920898438
2,10,war,0.16710767149925232
2,11,la,0.1609801948070526
2,12,said,0.15918320417404175
2,13,court,0.15561145544052124
2,14,coligny,0.15514983236789703
2,15,great,0.1523227095603943
