book_id,volatility,mean_sentiment,n_chunks,label_suffering_type
brothers_karamazov,0.8666921021908529,0.4848,5,moral
myth_of_sisyphus,0.504415102097191,0.8315037735849056,106,existential
meditations,0.7514904519533356,0.6132522222222222,90,stoic
east_of_eden,0.5184651088797423,0.8339409836065574,61,intergenerational
enchiridion,0.3573573976499891,0.9196000000000001,30,stoic
crime_and_punishment,0.9963738848640226,-0.1199609756097561,41,moral
the_stranger,0.7598665083103097,0.564819801980198,202,existential
notes_from_underground,0.031844888492141454,0.989576923076923,13,existential
seneca_letters,0.4811095357905219,0.62424,15,stoic
zarathustra,0.7527569800544852,0.6088223021582734,139,existential
sickness_unto_death,0.3207881539963372,0.9330370689655172,116,existential
republic,0.9096305393507412,0.30689848484848486,198,philosophy
mans_search_for_meaning,0.8482119891975298,0.43809495798319326,119,existential
dickinson_poems,0.5567178001841107,0.7828205128205129,39,poetry_sentimental
whitman_poems,0.6329162729949392,0.7376939759036144,83,poetry_sentimental
poe_poems,0.9319485139621485,0.2137109243697479,119,poetry_existential
byron_childe_harold,5.7735026918956215e-05,0.9999333333333333,3,poetry_sentimental
browning_sonnets,0.8418066379206249,0.5357947368421052,38,poetry_sentimental
keats_poems,0.8687887327755824,-0.15812857142857142,14,poetry_sentimental
leaves_of_grass,0.0030080843453220295,0.9985999999999999,8,poetry_sentimental
